Dates,Casos,Defunciones,Casospor100k,Defpor100k,week
2020-03-01,0.0,0.0,0.0,0.0,09
2020-03-08,0.0,0.0,0.0,0.0,10
2020-03-15,3.0,0.0,0.20916374244134522,0.0,11
2020-03-22,6.0,1.0,0.4183274848826904,0.0697212474804484,12
2020-03-29,10.0,1.0,0.6972124748044841,0.0697212474804484,13
2020-04-05,18.0,2.0,1.2549824546480715,0.1394424949608968,14
2020-04-12,16.0,2.0,1.1155399596871747,0.1394424949608968,15
2020-04-19,20.0,2.0,1.394424949608968,0.1394424949608968,16
2020-04-26,19.0,4.0,1.3247037021285197,0.2788849899217936,17
2020-05-03,44.0,0.0,3.06773488913973,0.0,18
2020-05-10,96.0,5.0,6.693239758123049,0.348606237402242,19
2020-05-17,202.0,5.0,14.083691991050582,0.34860623740224206,20
2020-05-24,297.0,6.0,20.70721050169318,0.4183274848826904,21
2020-05-31,373.0,19.0,26.006025310207264,1.3247037021285197,22
2020-06-07,586.0,26.0,40.856651023542774,1.8127524344916588,23
