date,Pfizer,AstraZeneca,Sinovac,CanSino,Sputnik,Moderna,Sinopharm,CIGB-Abdala,Bharat,Janssen,Comirnaty/BNT162b2,Vaxevria/Covishield/AZ1222,Coronavac,Convidecia,Sputnik-V,Spikevax/Elasomeran,BBIP-Sinopharm,Abdala,Covaxin,Ad26.COV2.S,Total,Aplicadas,A_acumuladas
2020-12-31,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,53625,0,0,0,0,0,0,0,0,0,53625,24998,24998
2021-01-31,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,712725,0,0,0,0,0,0,0,0,0,712725,648329,673327
2021-02-27,32.6451423969544,28.31,32.54,0.00,6.51,0.00,0.00,0.00,0.00,0.00,1003275,870000,1000000,0,200000,0,0,0,0,0,3073275,1781768,2455095
2021-03-31,35.3788223288874,15.67,31.11,10.59,7.26,0.00,0.00,0.00,0.00,0.00,3411525,1510600,3000000,1020720,700000,0,0,0,0,0,9642845,5395958,7851053
2021-04-30,45.8735556492373,19.12,8.37,18.26,8.37,0.00,0.00,0.00,0.00,0.00,5478915,2283900,1000000,2180700,1000000,0,0,0,0,0,11943515,10228952,18080005
2021-05-31,26.9625516736624,46.38,13.52,9.76,3.38,0.00,0.00,0.00,0.00,0.00,3989700,6863600,2000000,1443890,500000,0,0,0,0,0,14797190,12397698,30477703
2021-06-30,37.6561010251924,30.01,12.29,1.31,10.44,0.00,0.00,0.00,0.00,8.29,6129630,4885400,2000000,212890,1700000,0,0,0,0,1350000,16277920,15420507,45898210
2021-07-31,11.1522186200178,45.75,37.80,4.27,1.03,0.00,0.00,0.00,0.00,0.00,3245580,13313400,11000000,1243570,300000,0,0,0,0,0,29102550,20814276,66712486
2021-08-31,35.9876211070615,36.99,0.00,10.10,2.12,14.81,0.00,0.00,0.00,0.00,4253780,4372700,0,1193640,250000,1750000,0,0,0,0,11820120,18233957,84946443
2021-09-30,14.2118640162494,63.90,0.00,5.05,6.50,10.34,0.00,0.00,0.00,0.00,2405520,10816100,0,854520,1100000,1750000,0,0,0,0,16926140,16244041,101190484
2021-10-31,6.4319418176146,52.43,0.00,8.10,33.04,0.00,0.00,0.00,0.00,0.00,2375100,19358900,0,2992640,12200000,0,0,0,0,0,36926640,25148886,126339370
2021-11-30,28.709425398625,57.33,0.00,13.96,0.00,0.00,0.00,0.00,0.00,0.00,6133140,12247400,0,2982270,0,0,0,0,0,0,21362810,6297441,132636811
2021-12-31,44.059385567695,51.68,0.00,0.00,4.26,0.00,0.00,0.00,0.00,0.00,9314370,10926120,0,0,900000,0,0,0,0,0,21140490,16301643,148938454
